TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,High_confidence,Source,TEFF_SPEC,LOGG_SPEC,FE_H_SPEC,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
87066,11146,105.8471295,32.92588636,0.978,16.2275772,15.9820375,15.851943,15.218236,15.107235,14.6012182,14.4146261,13.982893,13.9072332,13.7497854,13.6668634,13.6428051,0.903320313,0,0,New,,,,4960.203,3.0680757,-0.68882954,92.34443,0.24494867,0.11755274
87066,11872,105.7087321,32.95088795,0.961,17.5423031,17.3409672,17.0660629,16.0738029,15.8112888,15.0209141,14.7537851,14.0872326,13.9683313,13.7213516,13.5555077,13.5179663,0.966796875,0,1,New,,,,4291.097,1.7438438,-0.64056355,68.48893,0.250219,0.13694362
87066,12196,106.4385044,32.95161044,0.983,15.2258835,14.947794,14.8103495,14.0546474,13.9117985,13.3138294,13.0969667,12.6314373,12.5528049,12.3875093,12.2851477,12.2680063,0.967773438,0,1,New,,,,4846.0464,2.457551,-0.585749,69.887405,0.24343115,0.15200354
87066,14278,106.5175495,33.04076378,0.954,17.5766563,17.2294998,17.081686,16.2525749,16.0125084,15.3582296,15.1303911,14.5718813,14.4736652,14.2786083,14.1571541,14.1352272,0.968261719,0,1,New,,,,4556.444,2.036422,-0.7179648,80.97167,0.28357288,0.17019881
87066,15025,105.1198484,33.06622612,0.825,16.8875751,16.5660019,16.4727783,15.7847805,15.6862497,15.0969982,14.89818,14.3786583,14.2234154,14.0667925,13.9475555,13.9138088,0.952636719,0,1,New,,,,4823.7363,2.7135398,-0.63370514,108.26895,0.21689089,0.11426154
87066,16790,106.3073705,33.1275778,0.996,15.4390574,15.201685,14.9738703,14.2151842,14.0398903,13.436204,13.2176304,12.7224226,12.6345348,12.4617786,12.3588867,12.3377514,0.9765625,1,1,New,,,,4825.758,2.5763073,-0.41730663,75.742455,0.08916205,0.1051356
87066,17209,106.0070926,33.14620304,0.938,16.3044548,16.1014214,15.8084927,15.0581017,14.8611336,14.2321358,14.0163078,13.4819555,13.3884983,13.2079086,13.0910444,13.0707655,0.986816406,0,1,New,,,,4780.5977,2.6876209,-0.32806188,69.14433,0.17639014,0.07607206
87066,17684,105.0767531,33.16524531,0.92,17.0384521,16.7495232,16.5454865,15.8215284,15.6731176,15.1104689,14.8819304,14.4125233,14.324441,14.1436825,14.0380611,14.0172777,0.936523438,0,0,New,,,,4898.209,2.5556693,-0.5095097,58.218925,0.13989352,0.08621641
87066,17986,105.210233,33.17542404,0.949,16.6355057,16.4231529,16.1272888,15.3345537,15.1120644,14.4548149,14.237896,13.6584282,13.5550632,13.3671761,13.2478657,13.2221613,0.982910156,0,1,New,,,,4727.567,2.8636765,-0.3224349,77.24829,0.17732218,0.08190931
87066,18420,105.7392253,33.19181388,0.998,16.3188438,16.1336823,15.8283873,15.0276337,14.7754068,14.1471844,13.9269905,13.377346,13.2897635,13.10709,12.9968262,12.9743195,0.989257813,1,1,New,,,,4752.081,2.611945,-0.31092468,78.92762,0.14862975,0.084393784
87066,18862,105.6125089,33.20797019,0.898,17.1731701,16.9888954,16.6651745,15.8916731,15.6751671,15.0110054,14.797081,14.2016544,14.109993,13.893137,13.7537298,13.7305756,0.946777344,0,0,Wu,,,,4663.1714,2.6580715,-0.4218302,77.72485,0.15044907,0.09447118
87066,19056,106.4940371,33.21827493,0.977,17.1230011,16.8640137,16.7080536,15.9488935,15.7954197,15.1778364,14.9668922,14.4866714,14.4099178,14.2343874,14.1293402,14.1130066,0.972167969,0,1,New,,,,4833.7007,2.3887296,-0.5249163,69.676285,0.17287095,0.12358968
87066,19076,106.0504819,33.21764724,0.843,17.352314,17.1828918,16.9129524,16.0636368,15.8387947,15.1507645,14.9319344,14.3506641,14.2372952,14.0393658,13.9131594,13.87609,0.928710938,0,0,New,,,,4640.5054,2.5675502,-0.33359048,74.54836,0.12462545,0.1301488
87066,19115,106.0582484,33.22272691,0.964,17.3721085,17.0800591,16.9692001,16.2824192,16.1632385,15.5970612,15.3988781,14.9225521,14.8187351,14.6544151,14.5525417,14.5294018,0.922851563,0,0,New,,,,4881.201,2.6506784,-0.7032808,97.904396,0.29703295,0.122286536
87066,19352,105.4361693,33.22741066,0.982,16.6376686,16.4122162,16.1191063,15.2161198,14.9440117,14.2339363,14.0218067,13.3770409,13.2714024,13.0563431,12.9224796,12.8907471,0.98828125,0,1,New,,,,4535.8594,2.5050972,-0.36921072,63.891552,0.21029314,0.14503963
87066,19684,105.6414506,33.2398796,0.932,16.5774918,16.3562546,16.0037155,15.1864347,14.9219942,14.2177582,13.9873257,13.3822231,13.2837639,13.081234,12.9507408,12.9246464,0.988769531,1,1,New,,,,4649.654,2.512215,-0.35223413,67.74755,0.15298332,0.11359424
87066,19811,105.5020767,33.24252015,0.984,15.7267342,15.4399567,15.2535648,14.542984,14.3675709,13.7754498,13.5578985,13.0633554,12.9836626,12.8015347,12.6867056,12.673275,0.955078125,0,1,New,,,,4870.5654,2.5826228,-0.48514974,57.613605,0.15113403,0.0664858
87066,21501,106.5512645,33.30913738,0.985,16.2638893,15.9771805,15.9799232,15.4236231,15.3592157,14.9478827,14.7656441,14.4118481,14.3595314,14.211545,14.1336584,14.1265507,0.958496094,0,0,New,,,,4923.116,2.8599389,-1.4563355,143.99396,0.36360508,0.28869617
87066,21565,105.6147833,33.31428157,0.95,17.4386597,17.1901436,16.9976883,16.2699661,16.1240711,15.5021324,15.2943277,14.787569,14.6964712,14.5061073,14.3811302,14.3637447,0.955078125,0,1,New,,,,4837.277,2.4925935,-0.49885604,74.79764,0.18340646,0.13636802
87066,21669,105.7211884,33.31632797,0.976,16.6101055,16.4069023,16.146883,15.3239326,15.0882254,14.4363518,14.2117987,13.6594048,13.5668449,13.3776007,13.2543716,13.2361546,0.98046875,0,1,New,,,,4727.673,2.5101755,-0.433965,71.38959,0.11836059,0.085993275
87066,22982,106.2925816,33.35864431,0.937,17.2709675,17.0619469,16.6448383,15.4626389,14.9462948,13.927433,13.6989985,12.7624512,12.6015043,12.3016186,12.0938625,12.0508299,0.986816406,0,1,New,,,,4063.7112,1.643914,-0.5021786,63.102535,0.27561823,0.16553304
87066,23004,106.6749677,33.36125294,0.969,16.0721931,15.8568039,15.6103239,14.7569323,14.4888668,13.8067436,13.5619135,13.0038977,12.8997202,12.7085848,12.5982857,12.5717306,0.985839844,1,1,New,,,,4552.806,2.328102,-0.3776364,87.19589,0.23184375,0.12412011
87066,23103,105.4687652,33.36062542,0.967,15.4442577,15.2043676,14.9848957,14.2463531,14.0551357,13.4830532,13.2629881,12.7810535,12.695981,12.5264044,12.4264774,12.4005995,0.962402344,0,1,New,,,,4840.7866,2.542854,-0.46058664,73.85137,0.080968566,0.11259786
87066,23797,106.3099084,33.39391359,0.969,16.2341728,16.0390339,15.7566376,14.9539957,14.7189188,14.0849123,13.8449554,13.3092632,13.2174244,13.0373631,12.925787,12.9071531,0.985839844,0,1,New,,,,4752.997,2.5267253,-0.3243514,77.95476,0.08369568,0.08153287
